medal|prize|country|year
Gold|97918|Afghanistan|2000
Silver|47547|Afghanistan|2000
Bronze|29475|Afghanistan|2000
Gold|172202|Afghanistan|2002
Silver|56164|Afghanistan|2002
Bronze|15887|Afghanistan|2002
Gold|186212|Afghanistan|2004
Silver|59100|Afghanistan|2004
Bronze|28568|Afghanistan|2004
Gold|111493|Afghanistan|2006
Silver|77158|Afghanistan|2006
Bronze|21362|Afghanistan|2006
Gold|143220|Afghanistan|2008
Silver|62432|Afghanistan|2008
Bronze|16047|Afghanistan|2008
Gold|171777|Afghanistan|2010
Silver|64993|Afghanistan|2010
Bronze|12086|Afghanistan|2010
Gold|126832|Afghanistan|2012
Silver|67575|Afghanistan|2012
Bronze|21296|Afghanistan|2012
Gold|194474|Algeria|2000
Silver|70389|Algeria|2000
Bronze|29386|Algeria|2000
Gold|128845|Algeria|2002
Silver|59477|Algeria|2002
Bronze|28714|Algeria|2002
Gold|175055|Algeria|2004
Silver|46212|Algeria|2004
Bronze|16799|Algeria|2004
Gold|107406|Algeria|2006
Silver|79307|Algeria|2006
Bronze|20263|Algeria|2006
Gold|199238|Algeria|2008
Silver|55540|Algeria|2008
Bronze|18004|Algeria|2008
Gold|152188|Algeria|2010
Silver|69702|Algeria|2010
Bronze|17763|Algeria|2010
Gold|134001|Algeria|2012
Silver|41313|Algeria|2012
Bronze|19202|Algeria|2012
Gold|147334|Argentina|2000
Silver|67257|Argentina|2000
Bronze|29236|Argentina|2000
Gold|183757|Argentina|2002
Silver|56209|Argentina|2002
Bronze|14497|Argentina|2002
Gold|144121|Argentina|2004
Silver|42023|Argentina|2004
Bronze|21974|Argentina|2004
Gold|118107|Argentina|2006
Silver|78083|Argentina|2006
Bronze|28809|Argentina|2006
Gold|115516|Argentina|2008
Silver|65598|Argentina|2008
Bronze|19908|Argentina|2008
Gold|191339|Argentina|2010
Silver|71019|Argentina|2010
Bronze|12881|Argentina|2010
Gold|193061|Argentina|2012
Silver|52234|Argentina|2012
Bronze|11671|Argentina|2012
Gold|185854|Armenia|2000
Silver|69175|Armenia|2000
Bronze|15302|Armenia|2000
Gold|149129|Armenia|2002
Silver|47774|Armenia|2002
Bronze|27291|Armenia|2002
Gold|192437|Armenia|2004
Silver|40812|Armenia|2004
Bronze|12053|Armenia|2004
Gold|199745|Armenia|2006
Silver|69926|Armenia|2006
Bronze|18678|Armenia|2006
Gold|182842|Armenia|2008
Silver|79903|Armenia|2008
Bronze|16803|Armenia|2008
Gold|140837|Armenia|2010
Silver|57099|Armenia|2010
Bronze|20528|Armenia|2010
Gold|120499|Armenia|2012
Silver|75161|Armenia|2012
Bronze|19972|Armenia|2012
Gold|143873|Australia|2000
Silver|67398|Australia|2000
Bronze|25036|Australia|2000
Gold|195110|Australia|2002
Silver|61517|Australia|2002
Bronze|24614|Australia|2002
Gold|112734|Australia|2004
Silver|62906|Australia|2004
Bronze|26419|Australia|2004
Gold|149759|Australia|2006
Silver|59563|Australia|2006
Bronze|18938|Australia|2006
Gold|122122|Australia|2008
Silver|78780|Australia|2008
Bronze|18128|Australia|2008
Gold|124246|Australia|2010
Silver|69791|Australia|2010
Bronze|17823|Australia|2010
Gold|135888|Australia|2012
Silver|54566|Australia|2012
Bronze|13239|Australia|2012
Gold|186024|Austria|2000
Silver|46799|Austria|2000
Bronze|14450|Austria|2000
Gold|168599|Austria|2002
Silver|76852|Austria|2002
Bronze|23753|Austria|2002
Gold|148295|Austria|2004
Silver|65868|Austria|2004
Bronze|16637|Austria|2004
Gold|176113|Austria|2006
Silver|57131|Austria|2006
Bronze|16264|Austria|2006
Gold|104744|Austria|2008
Silver|44579|Austria|2008
Bronze|21646|Austria|2008
Gold|124070|Austria|2010
Silver|44864|Austria|2010
Bronze|11304|Austria|2010
Gold|116103|Austria|2012
Silver|43390|Austria|2012
Bronze|12074|Austria|2012
Gold|150473|Azerbaijan|2000
Silver|50810|Azerbaijan|2000
Bronze|23369|Azerbaijan|2000
Gold|193118|Azerbaijan|2002
Silver|77919|Azerbaijan|2002
Bronze|24530|Azerbaijan|2002
Gold|147290|Azerbaijan|2004
Silver|69311|Azerbaijan|2004
Bronze|17461|Azerbaijan|2004
Gold|120527|Azerbaijan|2006
Silver|46675|Azerbaijan|2006
Bronze|28057|Azerbaijan|2006
Gold|145550|Azerbaijan|2008
Silver|76108|Azerbaijan|2008
Bronze|27899|Azerbaijan|2008
Gold|93497|Azerbaijan|2010
Silver|76387|Azerbaijan|2010
Bronze|26917|Azerbaijan|2010
Gold|118225|Azerbaijan|2012
Silver|45544|Azerbaijan|2012
Bronze|20494|Azerbaijan|2012
Gold|146048|Bahamas|2000
Silver|50524|Bahamas|2000
Bronze|28833|Bahamas|2000
Gold|101060|Bahamas|2002
Silver|67253|Bahamas|2002
Bronze|20209|Bahamas|2002
Gold|151253|Bahamas|2004
Silver|44772|Bahamas|2004
Bronze|10347|Bahamas|2004
Gold|91064|Bahamas|2006
Silver|48147|Bahamas|2006
Bronze|18711|Bahamas|2006
Gold|98212|Bahamas|2008
Silver|50493|Bahamas|2008
Bronze|28929|Bahamas|2008
Gold|92440|Bahamas|2010
Silver|68658|Bahamas|2010
Bronze|22622|Bahamas|2010
Gold|141726|Bahamas|2012
Silver|69999|Bahamas|2012
Bronze|29726|Bahamas|2012
